Region1,Region2,Year,Area planted,Crop,Area harvested,Production,Yield
brasil,piracicaba,2000,27030,corn,27030,113886,4.213
brasil,campinas,2000,102447,corn,102447,471698,4.604
brasil,presidente prudente,2000,41837,corn,41837,103036,2.462
brasil,marilia,2000,10961,corn,10961,27858,2.541
brasil,assis,2000,216697,corn,216697,303298,1.399
brasil,itapetininga,2000,124112,corn,124112,428407,3.451
brasil,macro metropolitana paulista,2000,27277,corn,27277,93064,3.411
brasil,vale do paraiba paulista,2000,12215,corn,12215,30375,2.486
brasil,litoral sul paulista,2000,928,corn,928,1738,1.872
brasil,metropolitana de sao paulo,2000,1786,corn,1786,4106,2.298
brasil,noroeste paranaense,2000,75136,corn,65096,151236,2.323
brasil,centro ocidental paranaense,2000,263186,corn,133856,344678,2.574
brasil,norte central paranaense,2000,397181,corn,321923,888680,2.76
brasil,norte pioneiro paranaense,2000,240194,corn,194880,324041,1.662
brasil,centro oriental paranaense,2000,172939,corn,172930,837586,4.843
brasil,oeste paranaense,2000,516621,corn,351348,1095353,3.117
brasil,sudoeste paranaense,2000,327491,corn,323265,1275715,3.946
brasil,centrosul paranaense,2000,303428,corn,297510,1139684,3.83
brasil,sudeste paranaense,2000,215173,corn,214250,831282,3.879
brasil,metropolitana de curitiba,2000,154890,corn,154890,465788,3.007
brasil,oeste catarinense,2000,557130,corn,557130,2260526,4.057
brasil,norte catarinense,2000,80138,corn,80138,424599,5.298
brasil,serrana,2000,93610,corn,93610,366651,3.916
brasil,vale do itajai,2000,54032,corn,53962,211581,3.92
brasil,grande florianopolis,2000,11505,corn,11275,37750,3.348
brasil,sul catarinense,2000,29595,corn,29457,102158,3.468
brasil,noroeste riograndense,2000,893997,corn,849162,2404269,2.831
brasil,nordeste riograndense,2000,148807,corn,148807,564180,3.791
brasil,centro ocidental riograndense,2000,77770,corn,76430,143660,1.879
brasil,centro oriental riograndense,2000,148980,corn,148660,423803,2.85
brasil,metropolitana de porto alegre,2000,66689,corn,66212,140493,2.121
brasil,sudoeste riograndense,2000,51286,corn,50286,63249,1.257
brasil,sudeste riograndense,2000,150230,corn,147480,196548,1.332
brasil,pantanais sul matogrossense,2000,3617,corn,2756,3868,1.403
brasil,centro norte de mato grosso do sul,2000,105170,corn,96950,182655,1.884
brasil,leste de mato grosso do sul,2000,64237,corn,55120,300043,5.443
brasil,sudoeste de mato grosso do sul,2000,340373,corn,239712,583005,2.432
brasil,norte matogrossense,2000,315682,corn,310082,809109,2.609
brasil,nordeste matogrossense,2000,42944,corn,42904,97489,2.272
brasil,sudoeste matogrossense,2000,30280,corn,30280,87981,2.905
brasil,centrosul matogrossense,2000,16945,corn,16395,41424,2.526
brasil,sudeste matogrossense,2000,156731,corn,142131,393669,2.769
brasil,noroeste goiano,2000,20383,corn,20383,62750,3.078
brasil,norte goiano,2000,42742,corn,42742,134562,3.148
brasil,centro goiano,2000,112738,corn,112688,371244,3.294
brasil,leste goiano,2000,115790,corn,115790,574278,4.959
brasil,sul goiano,2000,553551,corn,548241,2516641,4.59
brasil,distrito federal,2000,27118,corn,27118,138725,5.115
brasil,madeiraguapore,2001,10977,corn,10977,15576,1.418
brasil,leste rondoniense,2001,93859,corn,93859,153501,1.635
brasil,vale do jurua,2001,8954,corn,8954,9278,1.036
brasil,vale do acre,2001,20519,corn,20519,36281,1.768
brasil,norte amazonense,2001,29,corn,25,63,2.52
brasil,sudoeste amazonense,2001,2471,corn,2436,3504,1.438
brasil,centro amazonense,2001,3887,corn,3790,7205,1.901
brasil,sul amazonense,2001,3285,corn,3272,3524,1.077
brasil,norte de roraima,2001,6150,corn,6150,9620,1.564
brasil,sul de roraima,2001,4150,corn,4150,5890,1.419
brasil,baixo amazonas,2001,49243,corn,49243,92637,1.881
brasil,marajo,2001,1202,corn,1196,1003,0.838
brasil,metropolitana de belem,2001,2545,corn,2545,2036,0.8
brasil,nordeste paraense,2001,44536,corn,44536,37393,0.839
brasil,sudoeste paraense,2001,34360,corn,34360,52516,1.528
brasil,sudeste paraense,2001,187471,corn,178149,298507,1.675
brasil,norte do amapa,2001,970,corn,960,815,0.848
brasil,sul do amapa,2001,925,corn,925,650,0.702
brasil,ocidental do tocantins,2001,43025,corn,43025,74860,1.739
brasil,oriental do tocantins,2001,19223,corn,19223,46399,2.413
brasil,norte maranhense,2001,35727,corn,35727,20034,0.56
brasil,oeste maranhense,2001,95298,corn,95298,89814,0.942
brasil,centro maranhense,2001,84635,corn,84635,72337,0.854
brasil,leste maranhense,2001,77679,corn,77679,51167,0.658
brasil,sul maranhense,2001,27894,corn,27894,86884,3.114
brasil,norte piauiense,2001,33322,corn,33322,21180,0.635
brasil,centronorte piauiense,2001,62295,corn,62295,33394,0.536
brasil,sudoeste piauiense,2001,86471,corn,86471,67701,0.782
brasil,sudeste piauiense,2001,95874,corn,95874,22265,0.232
brasil,noroeste cearense,2001,128203,corn,127381,56616,0.444
brasil,norte cearense,2001,86331,corn,86331,21565,0.249
brasil,metropolitana de fortaleza,2001,6791,corn,6791,4662,0.686
brasil,sertoes cearenses,2001,212608,corn,203257,78667,0.387
brasil,jaguaribe,2001,26504,corn,23774,9628,0.404
brasil,centrosul cearense,2001,40172,corn,37411,12747,0.34
brasil,sul cearense,2001,118656,corn,118656,60695,0.511
brasil,oeste potiguar,2001,43600,corn,26243,3578,0.136
brasil,central potiguar,2001,10018,corn,281,103,0.366
brasil,agreste potiguar,2001,21315,corn,7974,2821,0.353
brasil,leste potiguar,2001,6656,corn,2501,1214,0.485
brasil,sertao paraibano,2001,60706,corn,4751,3191,0.671
brasil,borborema,2001,29678,corn,2093,398,0.19
brasil,agreste paraibano,2001,47744,corn,10946,3849,0.351
brasil,mata paraibana,2001,1355,corn,571,285,0.499
brasil,sertao pernambucano,2001,163980,corn,59000,8082,0.136
brasil,sao francisco pernambucano,2001,21415,corn,20815,4227,0.203
brasil,agreste pernambucano,2001,72480,corn,26865,7903,0.294
brasil,mata pernambucana,2001,1150,corn,965,302,0.312
brasil,sertao alagoano,2001,36188,corn,13643,4137,0.303
brasil,agreste alagoano,2001,29997,corn,18301,20085,1.097
brasil,leste alagoano,2001,6254,corn,6254,3288,0.525
brasil,sertao sergipano,2001,42582,corn,19591,17467,0.891
brasil,agreste sergipano,2001,42772,corn,26525,22632,0.853
brasil,leste sergipano,2001,8271,corn,7998,6627,0.828
brasil,extremo oeste baiano,2001,207281,corn,207281,827343,3.991
brasil,vale saofranciscano da bahia,2001,46130,corn,24685,10683,0.432
brasil,centro norte baiano,2001,161979,corn,111798,62963,0.563
brasil,nordeste baiano,2001,228210,corn,176185,73945,0.419
brasil,metropolitana de salvador,2001,2284,corn,2284,1519,0.665
brasil,centro sul baiano,2001,40111,corn,33839,13417,0.396
brasil,sul baiano,2001,3393,corn,3393,2982,0.878
brasil,noroeste de minas,2001,123312,corn,123312,412191,3.342
brasil,norte de minas,2001,104179,corn,101142,109929,1.086
brasil,jequitinhonha,2001,23730,corn,23730,27610,1.163
brasil,vale do mucuri,2001,5032,corn,5032,4733,0.94
brasil,triangulo mineiroalto paranaiba,2001,362573,corn,361873,1647485,4.552
brasil,central mineira,2001,33632,corn,33072,78177,2.363
brasil,metropolitana de belo horizonte,2001,61834,corn,61495,155917,2.535
brasil,vale do rio doce,2001,78519,corn,76295,130587,1.711
brasil,oeste de minas,2001,81385,corn,80465,263800,3.278
brasil,sulsudoeste de minas,2001,205213,corn,205213,795793,3.877
brasil,campo das vertentes,2001,49684,corn,49684,151156,3.042
brasil,zona da mata,2001,87787,corn,87787,244033,2.779
brasil,noroeste espiritosantense,2001,9510,corn,9510,18926,1.99
brasil,litoral norte espiritosantense,2001,6841,corn,6841,17979,2.628
brasil,central espiritosantense,2001,16780,corn,16780,44909,2.676
brasil,sul espiritosantense,2001,13450,corn,13450,32965,2.45
brasil,noroeste fluminense,2001,5331,corn,5331,10512,1.971
brasil,norte fluminense,2001,2712,corn,2712,2991,1.102
brasil,centro fluminense,2001,3030,corn,3030,7273,2.4
brasil,baixadas,2001,652,corn,595,776,1.304
brasil,sul fluminense,2001,2153,corn,2153,4381,2.034
brasil,metropolitana do rio de janeiro,2001,507,corn,507,903,1.781
brasil,sao jose do rio preto,2001,134609,corn,134609,502271,3.731
brasil,ribeirao preto,2001,180195,corn,180195,622976,3.457
brasil,aracatuba,2001,72385,corn,72385,285604,3.945
brasil,bauru,2001,89670,corn,89670,353130,3.938
brasil,araraquara,2001,29080,corn,29080,105808,3.638
brasil,piracicaba,2001,25557,corn,25557,112470,4.4
brasil,campinas,2001,104234,corn,104234,444030,4.259
brasil,presidente prudente,2001,44249,corn,44249,133412,3.015
brasil,marilia,2001,12774,corn,12774,41010,3.21
brasil,assis,2001,228265,corn,228265,719342,3.151
brasil,itapetininga,2001,158035,corn,158035,734135,4.645
brasil,macro metropolitana paulista,2001,30399,corn,30399,106809,3.513
brasil,vale do paraiba paulista,2001,10382,corn,10382,34481,3.321
brasil,litoral sul paulista,2001,2053,corn,2053,3087,1.503
brasil,metropolitana de sao paulo,2001,648,corn,648,1555,2.399
brasil,noroeste paranaense,2001,102315,corn,102315,352289,3.443
brasil,centro ocidental paranaense,2001,237056,corn,237056,1031261,4.35
brasil,norte central paranaense,2001,454996,corn,454996,2010860,4.419
brasil,norte pioneiro paranaense,2001,222230,corn,222230,671755,3.022
brasil,centro oriental paranaense,2001,201380,corn,201380,1179055,5.854
brasil,oeste paranaense,2001,478035,corn,478035,2342702,4.9
brasil,sudoeste paranaense,2001,363350,corn,363350,1668310,4.591
brasil,centrosul paranaense,2001,348565,corn,348565,1673568,4.801
brasil,sudeste paranaense,2001,246910,corn,246910,1125000,4.556
brasil,metropolitana de curitiba,2001,162450,corn,162450,591764,3.642
brasil,oeste catarinense,2001,604860,corn,604860,2636925,4.359
brasil,norte catarinense,2001,90321,corn,90321,500961,5.546
brasil,serrana,2001,103720,corn,103720,435744,4.201
brasil,vale do itajai,2001,54908,corn,54908,225268,4.102
brasil,grande florianopolis,2001,11947,corn,11947,41015,3.433
brasil,sul catarinense,2001,30356,corn,30356,106957,3.523
brasil,noroeste riograndense,2001,995869,corn,993269,3938888,3.965
brasil,nordeste riograndense,2001,164240,corn,164190,774141,4.714
brasil,centro ocidental riograndense,2001,91570,corn,91570,279997,3.057
