Region1,Region2,Year,Crop,Area planted,Production,Yield
andhra pradesh,visakhapatnam,2002,rice,63992.0,64465.0,1.01
andhra pradesh,visakhapatnam,2012,rice,103764.0,151836.0,1.46
andhra pradesh,visakhapatnam,2006,rice,95747.0,183371.0,1.92
andhra pradesh,vizianagaram,2007,corn,11000.0,45000.0,4.09
andhra pradesh,vizianagaram,2001,corn,4613.0,24878.0,5.39
andhra pradesh,vizianagaram,2013,rice,116778.0,290925.0,2.49
andhra pradesh,vizianagaram,2006,corn,11591.0,41003.0,3.54
andhra pradesh,vizianagaram,2004,corn,8640.0,35940.0,4.16
andhra pradesh,vizianagaram,2007,rice,127000.0,369000.0,2.91
andhra pradesh,vizianagaram,2012,rice,125769.0,320819.0,2.55
andhra pradesh,vizianagaram,2008,corn,15650.0,55729.0,3.56
andhra pradesh,vizianagaram,2008,rice,130659.0,312009.0,2.39
andhra pradesh,vizianagaram,2013,corn,28665.0,126548.0,4.41
andhra pradesh,vizianagaram,2001,rice,110160.0,209709.0,1.9
andhra pradesh,vizianagaram,2009,rice,108233.0,239086.0,2.21
andhra pradesh,vizianagaram,2011,rice,124569.0,267745.0,2.15
andhra pradesh,vizianagaram,2004,rice,127575.0,295331.0,2.31
andhra pradesh,vizianagaram,2006,rice,118452.0,283335.0,2.39
andhra pradesh,vizianagaram,1999,rice,134170.0,257789.0,1.92
andhra pradesh,vizianagaram,2002,corn,4807.0,21450.0,4.46
andhra pradesh,vizianagaram,2005,rice,98086.0,140656.0,1.43
andhra pradesh,vizianagaram,2010,rice,133544.0,348665.0,2.61
andhra pradesh,vizianagaram,2012,corn,21106.0,94626.0,4.48
andhra pradesh,vizianagaram,1998,corn,2400.0,9600.0,4.0
andhra pradesh,vizianagaram,2010,corn,18986.0,68806.0,3.62
andhra pradesh,vizianagaram,1998,rice,136600.0,308900.0,2.26
andhra pradesh,vizianagaram,2011,corn,20619.0,91624.0,4.44
andhra pradesh,vizianagaram,1999,corn,3125.0,13312.0,4.26
andhra pradesh,vizianagaram,2005,corn,9301.0,37550.0,4.04
andhra pradesh,vizianagaram,2009,corn,17089.0,63438.0,3.71
andhra pradesh,vizianagaram,2000,rice,132070.0,220343.0,1.67
andhra pradesh,vizianagaram,2000,corn,3285.0,13586.0,4.14
andhra pradesh,vizianagaram,2002,rice,94589.0,116984.0,1.24
andhra pradesh,vizianagaram,2003,corn,11583.0,43001.0,3.71
andhra pradesh,vizianagaram,2003,rice,113076.0,239045.0,2.11
andhra pradesh,warangal,2002,corn,67239.0,183414.0,2.73
andhra pradesh,warangal,2011,corn,58964.0,265214.0,4.5
andhra pradesh,warangal,2008,rice,230858.0,689972.0,2.99
andhra pradesh,warangal,2010,corn,66939.0,260841.0,3.9
andhra pradesh,warangal,2005,rice,201875.0,646176.0,3.2
andhra pradesh,warangal,2011,rice,224349.0,573940.0,2.56
andhra pradesh,warangal,2000,corn,62793.0,160758.0,2.56
andhra pradesh,warangal,2002,rice,135194.0,292747.0,2.17
andhra pradesh,warangal,1998,corn,45400.0,138700.0,3.06
andhra pradesh,warangal,2001,rice,179525.0,515035.0,2.87
andhra pradesh,warangal,2010,rice,268060.0,860408.0,3.21
andhra pradesh,warangal,2000,rice,225101.0,650024.0,2.89
andhra pradesh,warangal,2007,rice,187000.0,559000.0,2.99
andhra pradesh,warangal,2003,corn,84304.0,302755.0,3.59
andhra pradesh,warangal,2007,corn,79000.0,350000.0,4.43
andhra pradesh,warangal,2009,rice,124429.0,316325.0,2.54
andhra pradesh,warangal,1998,rice,207700.0,572800.0,2.76
andhra pradesh,warangal,2004,corn,71856.0,262767.0,3.66
andhra pradesh,warangal,2009,corn,68617.0,200477.0,2.92
andhra pradesh,warangal,2005,corn,78059.0,318833.0,4.08
andhra pradesh,warangal,2008,corn,79700.0,344394.0,4.32
andhra pradesh,warangal,2006,rice,208935.0,589386.0,2.82
andhra pradesh,warangal,2004,rice,130324.0,355762.0,2.73
andhra pradesh,warangal,1999,rice,184142.0,389493.0,2.12
andhra pradesh,warangal,2001,corn,40141.0,133936.0,3.34
andhra pradesh,warangal,2006,corn,75572.0,263480.0,3.49
andhra pradesh,warangal,1999,corn,51110.0,154453.0,3.02
andhra pradesh,warangal,2003,rice,170235.0,510766.0,3.0
andhra pradesh,west godavari,2009,rice,328577.0,1115056.0,3.39
andhra pradesh,west godavari,2004,corn,23660.0,141333.0,5.97
andhra pradesh,west godavari,2012,corn,52874.0,316878.0,5.99
andhra pradesh,west godavari,2003,corn,27818.0,148216.0,5.33
andhra pradesh,west godavari,2008,corn,48100.0,378598.0,7.87
andhra pradesh,west godavari,2012,rice,422506.0,1289370.0,3.05
andhra pradesh,west godavari,2008,rice,450458.0,1600382.0,3.55
andhra pradesh,west godavari,2007,rice,446000.0,1639000.0,3.67
andhra pradesh,west godavari,2001,rice,414200.0,1473131.0,3.56
andhra pradesh,west godavari,2013,rice,420619.0,1342335.0,3.19
andhra pradesh,west godavari,2006,corn,30453.0,204746.0,6.72
andhra pradesh,west godavari,2000,corn,18689.0,94139.0,5.04
andhra pradesh,west godavari,2004,rice,419996.0,1649568.0,3.93
andhra pradesh,west godavari,2000,rice,471665.0,1652877.0,3.5
andhra pradesh,west godavari,2011,rice,363785.0,1308467.0,3.6
andhra pradesh,west godavari,2010,rice,456516.0,1490315.0,3.26
andhra pradesh,west godavari,2007,corn,36000.0,244000.0,6.78
andhra pradesh,west godavari,1998,corn,9700.0,46900.0,4.84
andhra pradesh,west godavari,2006,rice,434040.0,1557108.0,3.59
andhra pradesh,west godavari,1999,rice,460460.0,1466370.0,3.18
andhra pradesh,west godavari,2013,corn,53868.0,381731.0,7.09
andhra pradesh,west godavari,1999,corn,11901.0,55759.0,4.69
andhra pradesh,west godavari,2009,corn,46882.0,322405.0,6.88
andhra pradesh,west godavari,2003,rice,410218.0,1679723.0,4.09
andhra pradesh,west godavari,2001,corn,13484.0,83957.0,6.23
andhra pradesh,west godavari,2011,corn,48359.0,324637.0,6.71
andhra pradesh,west godavari,2002,rice,331628.0,1165689.0,3.52
andhra pradesh,west godavari,2005,corn,29124.0,163642.0,5.62
andhra pradesh,west godavari,2010,corn,44682.0,307656.0,6.89
andhra pradesh,west godavari,2005,rice,446018.0,1363270.0,3.06
andhra pradesh,west godavari,1998,rice,456300.0,1495500.0,3.28
andhra pradesh,west godavari,2002,corn,18140.0,120946.0,6.67
assam,barpeta,2004,rice,142630.0,115615.0,0.81
assam,barpeta,1998,rice,188625.0,172587.0,0.91
assam,barpeta,1999,rice,206842.0,239123.0,1.16
assam,barpeta,2008,rice,164341.0,221521.0,1.35
assam,barpeta,2000,rice,195855.0,239328.0,1.22
assam,barpeta,2001,rice,172492.0,199234.0,1.16
assam,barpeta,2005,rice,118152.0,135634.0,1.15
assam,barpeta,2003,rice,175650.0,208520.0,1.19
assam,barpeta,2010,rice,165743.0,314231.0,1.9
assam,barpeta,2006,rice,111890.0,114291.0,1.02
assam,barpeta,2002,rice,179225.0,185010.0,1.03
assam,barpeta,2007,rice,104214.0,119575.0,1.15
assam,barpeta,2009,rice,172062.0,266545.0,1.55
assam,baska,2009,rice,92194.0,147707.0,1.6
assam,baska,2007,rice,87233.0,107813.0,1.24
assam,baska,2005,rice,95962.0,125729.0,1.31
assam,baska,2008,rice,94794.0,164203.0,1.73
assam,baska,2010,rice,101730.0,160856.0,1.58
assam,baska,2006,rice,91167.0,116814.0,1.28
assam,bongaigaon,2000,rice,100713.0,103954.0,1.03
assam,bongaigaon,2002,rice,102917.0,123465.0,1.2
assam,bongaigaon,2010,rice,61628.0,100581.0,1.63
assam,bongaigaon,2009,rice,65231.0,76907.0,1.18
assam,bongaigaon,1999,rice,98974.0,98374.0,0.99
assam,bongaigaon,2001,rice,101068.0,113542.0,1.12
assam,bongaigaon,2003,rice,102626.0,119231.0,1.16
assam,bongaigaon,2004,rice,102834.0,109700.0,1.07
assam,bongaigaon,2007,rice,66049.0,69578.0,1.05
assam,bongaigaon,1998,rice,96263.0,91909.0,0.95
assam,bongaigaon,2005,rice,76514.0,87602.0,1.14
assam,bongaigaon,2008,rice,68440.0,82724.0,1.21
assam,bongaigaon,2006,rice,63552.0,60208.0,0.95
assam,cachar,2002,rice,105120.0,220058.0,2.09
assam,cachar,2010,rice,104599.0,225323.0,2.15
assam,cachar,2007,rice,99652.0,98783.0,0.99
assam,cachar,2006,rice,101578.0,165560.0,1.63
assam,cachar,1998,rice,102941.0,202758.0,1.97
assam,cachar,1999,rice,103464.0,181850.0,1.76
assam,cachar,2001,rice,102093.0,224744.0,2.2
assam,cachar,2000,rice,104000.0,221685.0,2.13
assam,cachar,2009,rice,110260.0,226989.0,2.06
assam,cachar,2004,rice,103132.0,165442.0,1.6
assam,cachar,2005,rice,109866.0,218792.0,1.99
assam,cachar,2008,rice,111520.0,234645.0,2.1
assam,cachar,2003,rice,109196.0,234639.0,2.15
assam,chirang,2005,rice,43114.0,49402.0,1.15
assam,chirang,2006,rice,51482.0,63413.0,1.23
assam,chirang,2008,rice,51381.0,49147.0,0.96
assam,chirang,2007,rice,53633.0,51782.0,0.97
assam,chirang,2009,rice,51796.0,69505.0,1.34
assam,chirang,2010,rice,52825.0,77487.0,1.47
assam,darrang,1998,rice,158886.0,174233.0,1.1
assam,darrang,2001,rice,188190.0,268033.0,1.42
assam,darrang,2002,rice,170537.0,205562.0,1.21
assam,darrang,2010,rice,85301.0,188325.0,2.21
assam,darrang,2004,rice,144886.0,156162.0,1.08
