Year,Region2,Crop,Region1,Area harvested,Area planted,Production,Yield
2003,jackson,soybeans,ia,42800.0,43000.0,1412000.0,33.0
2003,jackson,soybeans,il,78700.0,79000.0,2754500.0,35.0
2003,jackson,soybeans,in,71700.0,73100.0,2798400.0,39.0
2003,jackson,soybeans,ks,35400.0,36200.0,682100.0,19.0
2003,jackson,soybeans,mn,174600.0,175300.0,6809400.0,39.0
2003,jackson,soybeans,mo,43100.0,43400.0,865000.0,20.1
2003,jackson,soybeans,oh,1300.0,1400.0,55100.0,42.4
2003,jasper,soybeans,ia,139400.0,140000.0,4490000.0,32.2
2003,jasper,soybeans,il,115900.0,116000.0,4751900.0,41.0
2003,jasper,soybeans,in,101800.0,104000.0,3130000.0,30.7
2003,jasper,soybeans,mo,43300.0,43800.0,1139000.0,26.3
2003,jay,soybeans,in,86200.0,87600.0,3154500.0,36.6
2003,jefferson,soybeans,ar,109000.0,110000.0,3847000.0,35.0
2003,jefferson,soybeans,ia,61600.0,62000.0,1978000.0,32.1
2003,jefferson,soybeans,il,81800.0,82000.0,1963200.0,24.0
2003,jefferson,soybeans,in,34900.0,36900.0,1196500.0,34.3
2003,jefferson,soybeans,ks,43400.0,44000.0,922800.0,21.0
2003,jefferson,soybeans,mo,6900.0,7000.0,218000.0,31.6
2003,jefferson,soybeans,ne,72500.0,73000.0,2776900.0,38.3
2003,jennings,soybeans,in,49800.0,50300.0,1891600.0,38.0
2003,jerauld,soybeans,sd,12900.0,13000.0,233000.0,18.1
2003,jersey,soybeans,il,55900.0,56000.0,2180100.0,39.0
2003,jewell,soybeans,ks,17400.0,18500.0,403900.0,23.0
2003,jo daviess,soybeans,il,45900.0,46000.0,1193400.0,26.0
2003,johnson,soybeans,ar,2800.0,3000.0,76000.0,27.0
2003,johnson,soybeans,ia,88600.0,89000.0,2808000.0,31.7
2003,johnson,soybeans,il,13900.0,14000.0,597700.0,43.0
2003,johnson,soybeans,in,45000.0,45300.0,1963200.0,43.6
2003,johnson,soybeans,ks,27800.0,28300.0,468400.0,17.0
2003,johnson,soybeans,mo,57300.0,57900.0,970000.0,16.9
2003,johnson,soybeans,ne,39700.0,40000.0,1401300.0,35.3
2003,jones,soybeans,ia,82700.0,83000.0,2667000.0,32.2
2003,kanabec,soybeans,mn,9800.0,9900.0,176400.0,18.0
2003,kandiyohi,soybeans,mn,122600.0,123300.0,3800600.0,31.0
2003,kane,soybeans,il,67900.0,68000.0,2444400.0,36.0
2003,kankakee,soybeans,il,134600.0,135000.0,4441800.0,33.0
2003,kearney,soybeans,ne,74700.0,75000.0,3933000.0,52.7
2003,kearny,soybeans,ks,3300.0,3400.0,143700.0,44.0
2003,keith,soybeans,ne,4900.0,5000.0,245000.0,50.0
2003,kendall,soybeans,il,68100.0,69000.0,2383500.0,35.0
2003,keokuk,soybeans,ia,91600.0,92000.0,2884000.0,31.5
2003,keya paha,soybeans,ne,3400.0,3800.0,156800.0,46.1
2003,kidder,soybeans,nd,4800.0,5000.0,135000.0,28.1
2003,kingman,soybeans,ks,9700.0,10800.0,304000.0,31.0
2003,kingsbury,soybeans,sd,137600.0,138000.0,4095000.0,29.8
2003,kiowa,soybeans,ks,10100.0,10200.0,571500.0,57.0
2003,kittson,soybeans,mn,77800.0,78000.0,2489600.0,32.0
2003,knox,soybeans,il,133700.0,134000.0,5214300.0,39.0
2003,knox,soybeans,in,109200.0,113000.0,4339700.0,39.7
2003,knox,soybeans,mo,74900.0,75400.0,2543000.0,34.0
2003,knox,soybeans,ne,67000.0,68000.0,2326600.0,34.7
2003,knox,soybeans,oh,46700.0,47000.0,1773700.0,38.0
2003,koochiching,soybeans,mn,1600.0,1700.0,41600.0,26.0
2003,kosciusko,soybeans,in,85100.0,85300.0,3060000.0,36.0
2003,kossuth,soybeans,ia,253900.0,255000.0,8549000.0,33.7
2003,la moure,soybeans,nd,194500.0,205000.0,5925000.0,30.5
2003,la porte,soybeans,in,86300.0,86700.0,2618200.0,30.3
2003,la salle,soybeans,il,247400.0,250000.0,8411600.0,34.0
2003,labette,soybeans,ks,52900.0,54300.0,1001200.0,19.0
2003,lac qui parle,soybeans,mn,172600.0,173200.0,5005400.0,29.0
2003,lafayette,soybeans,ar,8500.0,9000.0,292000.0,34.0
2003,lafayette,soybeans,mo,109200.0,110100.0,3038000.0,27.8
2003,lagrange,soybeans,in,33600.0,33800.0,1336300.0,39.8
2003,lake,soybeans,il,12900.0,13000.0,296700.0,23.0
2003,lake,soybeans,in,52500.0,53600.0,1556300.0,29.6
2003,lake,soybeans,sd,117700.0,118000.0,3825000.0,32.5
2003,lancaster,soybeans,ne,130700.0,132000.0,4538300.0,34.7
2003,lane,soybeans,ks,3400.0,3500.0,139900.0,41.0
2003,lawrence,soybeans,ar,89000.0,89500.0,3298000.0,37.0
2003,lawrence,soybeans,il,85400.0,86000.0,3586800.0,42.0
2003,lawrence,soybeans,in,18000.0,18300.0,616000.0,34.2
2003,lawrence,soybeans,mo,7000.0,7100.0,185000.0,26.4
2003,lawrence,soybeans,oh,1200.0,1300.0,49400.0,41.2
2003,le sueur,soybeans,mn,82900.0,83400.0,2818600.0,34.0
2003,leavenworth,soybeans,ks,27800.0,28700.0,584000.0,21.0
2003,lee,soybeans,ar,121000.0,125000.0,4579000.0,38.0
2003,lee,soybeans,ia,69700.0,70000.0,2539000.0,36.4
