"","Data Source Organization","Data Source Document","Country","FNID_mod","Admin 1","Admin2_mod","Pop_group","Year","Season","Crop","DNL Name of Crop in FDW","DNL Name of Crop in source","DNL Original harvest year","AreaPlanted_ha","QuantityProduced_mt","DNLQuantityProduced","Yield_mt_ha"
"27","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20307","Amhara","West Gojam",NA,2002,"Meher","01122","Maize","Maize","2001/2002",111417.75,289770.597,NA,2.6007579312991
"28","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20308","Amhara","Wag Himra",NA,2002,"Meher","01122","Maize","Maize","2001/2002",1296.14,854.32,NA,0.659126328945947
"29","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20309","Amhara","Awi",NA,2002,"Meher","01122","Maize","Maize","2001/2002",34085.13,106725.979,NA,3.13115951149372
"30","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20310","Amhara","Oromia",NA,2002,"Meher","01122","Maize","Maize","2001/2002",7138.02,7977.885,NA,1.11766077988013
"31","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20403","Oromia","Ilubabor",NA,2002,"Meher","01122","Maize","Maize","2001/2002",71933.55,141925.832,NA,1.97301303772718
"32","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20404","Oromia","Jimma",NA,2002,"Meher","01122","Maize","Maize","2001/2002",103963.08,249287.542,NA,2.39784683177913
"33","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20406","Oromia","North Shewa",NA,2002,"Meher","01122","Maize","Maize","2001/2002",5340.7,8004.559,NA,1.49878461624881
"34","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20409","Oromia","West Hararge",NA,2002,"Meher","01122","Maize","Maize","2001/2002",42379.9,70429.017,NA,1.66184953244345
"35","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20410","Oromia","East Hararge",NA,2002,"Meher","01122","Maize","Maize","2001/2002",36497.87,71454.631,NA,1.95777537154908
"36","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20501","Somali","Shinile",NA,2002,"Meher","01122","Maize","Maize","2001/2002",63.6,78.8,NA,1.23899371069182
"37","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20502","Somali","Jijiga",NA,2002,"Meher","01122","Maize","Maize","2001/2002",18552,25173,NA,1.35688874514877
"38","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20702","SNNPR","Hadiya",NA,2002,"Meher","01122","Maize","Maize","2001/2002",21872.69,33749.05,NA,1.54297665262023
"39","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20704","SNNPR","Sidama",NA,2002,"Meher","01122","Maize","Maize","2001/2002",25348.82,44760.93,NA,1.76579935476286
"40","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20705","SNNPR","Gedeo",NA,2002,"Meher","01122","Maize","Maize","2001/2002",4857.81,10085.261,NA,2.07609210734879
"41","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20707","SNNPR","South Omo",NA,2002,"Meher","01122","Maize","Maize","2001/2002",5394.58,7846.71,NA,1.45455438606898
"42","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20711","SNNPR","Bench Maji",NA,2002,"Meher","01122","Maize","Maize","2001/2002",9570.78,15477.33,NA,1.61714405722418
"43","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20712","SNNPR","Yem",NA,2002,"Meher","01122","Maize","Maize","2001/2002",1704.55,2239.046,NA,1.3135701504796
"44","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20722","SNNPR","Segen",NA,2002,"Meher","01122","Maize","Maize","2001/2002",7723.66,6393.565,NA,0.827789545370977
"45","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A21301","Harari","Harari",NA,2002,"Meher","01122","Maize","Maize","2001/2002",765,918.6,NA,1.20078431372549
"46","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A112","Gambela",NA,NA,2001,"Meher","01122","Maize","Maize","2000/2001",8790,24420,NA,2.77815699658703
"47","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21301","Harari","Harari",NA,2001,"Meher","01122","Maize","Maize","2000/2001",1080,960,NA,0.888888888888889
"48","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21301","Harari","Harari",NA,2004,"Meher","01122","Maize","Maize","2003/2004",925,1205.3,NA,1.30302702702703
"49","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21301","Harari","Harari",NA,2005,"Meher","01122","Maize","Maize","2004/2005",1149,1014.8,NA,0.883202785030461
"50","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21301","Harari","Harari",NA,2006,"Meher","01122","Maize","Maize","2005/2006",933.06,1214.117,NA,1.30122071463786
"51","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21301","Harari","Harari",NA,2007,"Meher","01122","Maize","Maize","2006/2007",1366.38,2212.699,NA,1.61938772523017
"52","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21501","Dire Dawa","Dire Dawa",NA,2001,"Meher","01122","Maize","Maize","2000/2001",370,410,NA,1.10810810810811
