State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Eastern Equatoria ,Torit ,2010,corn,"18,285","19,016",1.0399779055077631,eastern equatoria,torit
Eastern Equatoria ,Budi ,2011,corn,"20,524","16,419",0.7999912298225014,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2011,corn,"23,993","21,114",0.8800071687276759,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2011,corn,"11,670","5,602",0.4800387314590278,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2011,corn,"8,927","4,999",0.5599914865969912,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2011,corn,"6,419","3,081",0.4799894066146345,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2011,corn,"15,159","10,914",0.719970182926427,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2011,corn,"33,653","40,384",1.200011291678924,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2011,corn,"18,833","15,067",0.8000329207618502,eastern equatoria,torit
Eastern Equatoria ,Budi ,2012,corn,"19,072","15,258",0.8000220216966144,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2012,corn,"22,651","19,933",0.8800058275315548,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2012,corn,"12,033","8,664",0.7200222719000091,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2012,corn,"7,300","5,840",0.8000027396884974,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2012,corn,"5,128","2,462",0.4801193424465202,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2012,corn,"16,822","14,804",0.8800387585378758,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2012,corn,"15,846","17,748",1.1200295340809412,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2012,corn,"17,280","13,824",0.8000011574007094,eastern equatoria,torit
Eastern Equatoria ,Budi ,2013,corn,"15,660","13,781",0.8800135375891598,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2013,corn,"20,602","19,778",0.9600040772542604,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2013,corn,"10,764","6,028",0.5600189518863629,eastern equatoria,kapoeta east
